uuid,wiki-name
cac7a781-be5d-4c59-b9b8-d8bb65fb1487,tunisia
fb99fe5c-118c-44d8-97ba-6570cdb7bd33,turkey
0adc54bf-ff91-4cb0-8571-d89b779f1061,turkmenistan
29c528d3-2b84-4b14-adec-78d0f7a06fc1,turks and caicos islands
6596da04-74ae-4968-9776-6a7debe1b0aa,tuvalu
2b1a33fe-be25-452b-8a1c-c7d5f1dce9c2,united arab emirates
c5ce24da-dd58-4e8e-a5e3-91b478717bb4,uganda
6b63bb5b-0238-4263-bdf4-8064a4fb5c26,ukraine
0f433ba9-47e1-4fe6-902c-632bf40355a9,united kingdom
d95a4486-5ca4-4500-8b10-211b945552c8,uruguay
cd560671-9a56-4d59-a90b-3fc5876c54a8,us virgin islands
0bea6297-7d53-49a7-927e-e5cbc57e3b5a,united states
19c52566-e35f-44fd-8130-d64562928fe2,uzbekistan
33f94df7-cd4f-487a-aa5c-fb45b65f19d5,vanuatu
3af87d1b-0507-4bfc-b6a1-e9b91d57fe65,vatican city
3a93a29d-abcc-45af-8915-8e983662c88a,venezuela
ec48dda4-e153-4854-9bc3-453263e606b1,vietnam
c5bc507e-7bca-4c9d-8d7b-a3441b33dffe,wales
077da062-83f7-44a0-9a02-a6db1579d6ea,wallis and futuna
7c843d31-a3b7-4fd6-854d-a41fd456ab79,western sahara
9da8253b-a4dc-41f8-b8fa-e751b6812191,yemen
9081511d-8a3b-4372-b828-44afb55b2dc4,yugoslavia
40fbcdb1-c386-45b7-946f-7e4190dcc02c,zambia
39658cd7-be12-4512-8a90-0b2cc9b2769d,zimbabwe
